MD	X	Y
20.000000000	559392.79000	6137771.8200
30.000000000	559392.79189	6137771.8307
40.000000000	559392.79758	6137771.8630
60.000000000	559392.81273	6137771.9489
80.000000000	559392.82788	6137772.0349
90.000000000	559392.83736	6137772.0886
100.00000000	559392.85061	6137772.1638
120.00000000	559392.88092	6137772.3356
140.00000000	559392.91123	6137772.5075
150.00000000	559392.92828	6137772.6042
160.00000000	559392.94911	6137772.7224
180.00000000	559392.99457	6137772.9802
200.00000000	559393.04003	6137773.2380
220.00000000	559393.08549	6137773.4958
230.00000000	559393.11011	6137773.6355
240.00000000	559393.13853	6137773.7966
260.00000000	559393.19914	6137774.1403
266.66666667	559393.20934	6137774.2176
273.33333333	559393.19955	6137774.2202
280.00000000	559393.16975	6137774.1482
290.00000000	559393.13163	6137773.9711
300.00000000	559393.13664	6137773.7677
310.00000000	559393.16792	6137773.5519
320.00000000	559393.20859	6137773.3378
330.00000000	559393.26215	6137773.1268
340.00000000	559393.33212	6137772.9207
350.00000000	559393.42248	6137772.7108
360.00000000	559393.53721	6137772.4881
370.00000000	559393.65477	6137772.2549
380.00000000	559393.75364	6137772.0132
390.00000000	559393.82079	6137771.7742
400.00000000	559393.84318	6137771.5491
410.00000000	559393.86536	6137771.3356
420.00000000	559393.93191	6137771.1316
430.00000000	559394.02654	6137770.9354
440.00000000	559394.13299	6137770.7453
450.00000000	559394.23198	6137770.5413
460.00000000	559394.30423	6137770.3033
470.00000000	559394.36200	6137770.0480
480.00000000	559394.41754	6137769.7922
490.00000000	559394.48886	6137769.5549
500.00000000	559394.59396	6137769.3553
510.00000000	559394.72661	6137769.1839
520.00000000	559394.88058	6137769.0313
530.00000000	559395.05613	6137768.8681
540.00000000	559395.25350	6137768.6648
550.00000000	559395.44242	6137768.4407
560.00000000	559395.59265	6137768.2148
570.00000000	559395.70443	6137767.9808
580.00000000	559395.77797	6137767.7320
590.00000000	559395.80742	6137767.4756
600.00000000	559395.78693	6137767.2182
610.00000000	559395.72415	6137766.9660
620.00000000	559395.62673	6137766.7251
630.00000000	559395.50134	6137766.4832
640.00000000	559395.35469	6137766.2281
650.00000000	559395.22875	6137765.9668
660.00000000	559395.16550	6137765.7065
670.00000000	559395.15181	6137765.4470
680.00000000	559395.17455	6137765.1881
690.00000000	559395.21210	6137764.9291
700.00000000	559395.24286	6137764.6692
710.00000000	559395.24316	6137764.4117
720.00000000	559395.18933	6137764.1599
730.00000000	559395.08837	6137763.9216
740.00000000	559394.94728	6137763.7047
750.00000000	559394.78434	6137763.4999
760.00000000	559394.61785	6137763.2979
770.00000000	559394.45993	6137763.0903
780.00000000	559394.32268	6137762.8684
790.00000000	559394.20518	6137762.6237
800.00000000	559394.10649	6137762.3474
810.00000000	559394.03154	6137762.0525
820.00000000	559393.98528	6137761.7517
830.00000000	559393.93274	6137761.4531
840.00000000	559393.83896	6137761.1648
850.00000000	559393.71377	6137760.9002
860.00000000	559393.56702	6137760.6726
870.00000000	559393.41322	6137760.4609
880.00000000	559393.26691	6137760.2440
890.00000000	559393.14281	6137760.0050
900.00000000	559393.05564	6137759.7269
910.00000000	559392.97801	6137759.4320
920.00000000	559392.88250	6137759.1424
930.00000000	559392.81931	6137758.8412
940.00000000	559392.83865	6137758.5117
950.00000000	559392.91928	6137758.1623
960.00000000	559393.03995	6137757.8015
970.00000000	559393.18096	6137757.4469
980.00000000	559393.32259	6137757.1161
990.00000000	559393.45280	6137756.7818
1000.0000000	559393.55952	6137756.4164
1010.0000000	559393.67316	6137756.0397
1020.0000000	559393.82411	6137755.6717
1030.0000000	559394.00619	6137755.3176
1040.0000000	559394.21325	6137754.9825
1050.0000000	559394.41698	6137754.6366
1060.0000000	559394.58911	6137754.2498
1070.0000000	559394.77932	6137753.8633
1080.0000000	559395.03731	6137753.5184
1090.0000000	559395.34102	6137753.1905
1100.0000000	559395.66844	6137752.8550
1110.0000000	559395.99725	6137752.5208
1120.0000000	559396.30518	6137752.1967
1130.0000000	559396.57285	6137751.8700
1140.0000000	559396.78090	6137751.5279
1150.0000000	559396.95293	6137751.1752
1160.0000000	559397.11254	6137750.8167
1170.0000000	559397.27814	6137750.4615
1180.0000000	559397.46814	6137750.1188
1190.0000000	559397.64820	6137749.7839
1200.0000000	559397.78397	6137749.4523
1210.0000000	559397.88583	6137749.1192
1220.0000000	559397.96418	6137748.7797
1230.0000000	559398.05100	6137748.4437
1240.0000000	559398.17827	6137748.1208
1250.0000000	559398.33251	6137747.8081
1260.0000000	559398.50026	6137747.5023
1270.0000000	559398.63911	6137747.1997
1280.0000000	559398.70668	6137746.8963
1290.0000000	559398.76045	6137746.5983
1300.0000000	559398.85793	6137746.3115
1310.0000000	559398.97353	6137746.0289
1320.0000000	559399.08170	6137745.7434
1330.0000000	559399.20161	6137745.4642
1340.0000000	559399.35247	6137745.2003
1350.0000000	559399.50457	6137744.9370
1360.0000000	559399.62824	6137744.6591
1370.0000000	559399.73391	6137744.3727
1380.0000000	559399.83205	6137744.0836
1390.0000000	559399.94221	6137743.8135
1400.0000000	559400.08395	6137743.5841
1410.0000000	559400.23079	6137743.3685
1420.0000000	559400.35624	6137743.1398
1430.0000000	559400.47795	6137742.9084
1440.0000000	559400.61357	6137742.6849
1450.0000000	559400.73073	6137742.4556
1460.0000000	559400.79709	6137742.2068
1470.0000000	559400.84029	6137741.9487
1480.0000000	559400.88798	6137741.6913
1490.0000000	559400.95516	6137741.4403
1500.0000000	559401.05677	6137741.2011
1510.0000000	559401.17863	6137740.9695
1520.0000000	559401.30650	6137740.7412
1530.0000000	559401.41970	6137740.5188
1540.0000000	559401.49752	6137740.3048
1550.0000000	559401.54547	6137740.0931
1560.0000000	559401.56906	6137739.8773
1570.0000000	559401.58710	6137739.6602
1580.0000000	559401.61836	6137739.4446
1590.0000000	559401.67234	6137739.2232
1600.0000000	559401.75852	6137738.9888
1610.0000000	559401.83181	6137738.7427
1620.0000000	559401.84711	6137738.4864
1630.0000000	559401.83912	6137738.2249
1640.0000000	559401.84254	6137737.9634
1650.0000000	559401.84825	6137737.7017
1660.0000000	559401.84711	6137737.4400
1670.0000000	559401.83798	6137737.1785
1680.0000000	559401.81973	6137736.9175
